"Компания",MOEX,"Тикер",URL,"Количество прогнозов","Сводная рекомендация","Прогноз доходности, avg, %","Доходность за последние полгода, %","Дивидентная доходность, avg, %","Валюта цены","Цена текущая","Цена прогноз","Цена прогноз min","Цена прогноз max","Количество акций в одном стандартном лоте",P/E,"Режим торгов","Уровень листинга",ISIN
"Газпром",1,GAZP,https://www.tinkoff.ru/invest/stocks/GAZP/,6,"Держать","10,82","-17,19%",,"₽","204,01 ₽","225,96 ₽","112,5 ₽","299 ₽",10,,TQBR,1,RU0007661625
"Группа ЛСР",1,LSRG,https://www.tinkoff.ru/invest/stocks/LSRG/,0,,,"-12,83%",,"₽","648,4 ₽",,,,1,,TQBR,1,RU000A0JPFP0
"Иркутскэнерго",1,IRGZ,https://www.tinkoff.ru/invest/stocks/IRGZ/,0,,,"-15,87%",,"₽","12,16 ₽",,,,100,,TQBR,3,RU0008960828
"КАМАЗ",1,KMAZ,https://www.tinkoff.ru/invest/stocks/KMAZ/,0,,,"4,36%",,"₽","59,8 ₽",,,,10,,TQBR,2,RU0008959580
"ЛУКОЙЛ",1,LKOH,https://www.tinkoff.ru/invest/stocks/LKOH/,6,"Держать","13,05","-10,16%",,"₽","5 499,5 ₽","6 218 ₽","5 370 ₽","8 700 ₽",1,,TQBR,1,RU0009024277
"Лента",1,LNTA,https://www.tinkoff.ru/invest/stocks/LNTA/,0,,,"-17,67%",,"₽","166,4 ₽",,,,1,,TQBR,1,US52634T2006
"Ленэнерго",1,LSNG,https://www.tinkoff.ru/invest/stocks/LSNG/,0,,,"-13,27%",,"₽","6,11 ₽",,,,100,,TQBR,3,RU0009034490
"Ленэнерго - акции привилегированные",1,LSNGP,https://www.tinkoff.ru/invest/stocks/LSNGP/,0,,,"36,77%",,"₽","167 ₽",,,,10,,TQBR,3,RU0009092134
"Магнит",1,MGNT,https://www.tinkoff.ru/invest/stocks/MGNT/,5,"Держать","3,74","20,6%",,"₽","3 858 ₽","3 994 ₽","2 000 ₽","4 720 ₽",1,,TQBR,1,RU000A0JKQU8
"НЛМК",1,NLMK,https://www.tinkoff.ru/invest/stocks/NLMK/,0,,,"8,53%",,"₽","143,04 ₽",,,,10,,TQBR,1,RU0009046452
"НОВАТЭК",1,NVTK,https://www.tinkoff.ru/invest/stocks/NVTK/,5,"Покупать","20,07","-13,15%",,"₽","1 086,8 ₽","1 307,6 ₽","1 102,6 ₽","1 500 ₽",1,,TQBR,1,RU000A0DKVS5
"Норильский никель",1,GMKN,https://www.tinkoff.ru/invest/stocks/GMKN/,2,"Покупать","21,12","15,88%",,"₽","20 424 ₽","24 736 ₽","23 800 ₽","25 672 ₽",1,,TQBR,1,RU0007288411
"Объединенная авиастроительная корпорация",1,UNAC,https://www.tinkoff.ru/invest/stocks/UNAC/,0,,,"-23,64%",,"₽","0,47 ₽",,,,1000,,TQBR,3,RU000A0JPLZ7
"ПИК",1,PIKK,https://www.tinkoff.ru/invest/stocks/PIKK/,1,"Держать","0,57","0,65%",,"₽","388,9 ₽","391 ₽","391 ₽","391 ₽",10,,TQBR,1,RU000A0JP7J7
"РКК Энергия им.С.П.Королева",1,RKKE,https://www.tinkoff.ru/invest/stocks/RKKE/,0,,,"-4,04%",,"₽","4 990 ₽",,,,1,,TQBR,3,RU0009095939
"Российские сети - акции привилегированные",1,RSTIP,https://www.tinkoff.ru/invest/stocks/RSTIP/,0,,,"63,68%",,"₽","2,375 ₽",,,,1000,,TQBR,1,RU000A0JPVK8
"Ростелеком",1,RTKM,https://www.tinkoff.ru/invest/stocks/RTKM/,4,"Держать","6,21","5,47%",,"₽","84,9 ₽","89,75 ₽","83 ₽","100 ₽",10,,TQBR,1,RU0008943394
"Ростелеком - Привилегированные акции",1,RTKMP,https://www.tinkoff.ru/invest/stocks/RTKMP/,0,,,"13,09%",,"₽","75,25 ₽",,,,10,,TQBR,1,RU0009046700
"Русгрэйн",1,RUGR,https://www.tinkoff.ru/invest/stocks/RUGR/,0,,,"61,43%",,"₽","7,564 ₽",,,,10,,TQBR,3,RU000A0JPNP4
"САФМАР",1,SFIN,https://www.tinkoff.ru/invest/stocks/SFIN/,0,,,"-6,94%",,"₽","457,4 ₽",,,,10,,TQBR,1,RU000A0JVW89
"Сбербанк России - привилегированные акции",1,SBERP,https://www.tinkoff.ru/invest/stocks/SBERP/,6,"Покупать","19,18","-5,54%",,"₽","199,53 ₽","238 ₽","180 ₽","278 ₽",10,,TQBR,1,RU0009029557
"Центральный Телеграф",1,CNTL,https://www.tinkoff.ru/invest/stocks/CNTL/,0,,,"20,29%",,"₽","21,1 ₽",,,,100,,TQBR,3,RU0007665147
"Центральный Телеграф - акции привилегированные",1,CNTLP,https://www.tinkoff.ru/invest/stocks/CNTLP/,0,,,"22,8%",,"₽","17,34 ₽",,,,100,,TQBR,3,RU0007665139
